,Variant,Make_Month,No_of_Owners,Color,Type_of_Car,Transmission,Insurance_Type,Condition,Registration_Place,Power_steering,Cruise_Control,Navigation_System,Adjustable_Steering,Automatic_Boot,Air_Conditioning,Power_Windows,Sunroof,Fog_Lamps,Alloy_Wheels,Adjustable_External_Mirror,Display_Screen,Bluetooth,AMFM_adio,USB_Compatibility,Aux_Compatibility,ABS,Anti_Theft_Device,Rear_Parking_Camera,Parking_Sensors,Lock_System,Number_of_Airbags,Flood_Affected,Accidental,Registration_Transfer,Insurance,Finance,Exchange,Brand,Model,Year,Fuel,KM_driven,Price
0,CitySV,March,First,Grey,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Honda,City,2017,Petrol,"45,000 km",775000
1,VXCVTi-vtec,July,First,Brown,Sedans,Automatic,Comprehensive,Used,MH,Yes,Yes,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,Yes,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Honda,City,2018,Petrol,"15,000 km",1220000
2,City1.5VManual,June,First,Brown,Sedans,Manual,Comprehensive,Used,MH,Yes,Yes,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Honda,City,2014,Petrol,"55,000 km",565000
3,SwiftVDi,June,First,Other,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,,Front&rear,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2008,Diesel,"110,000 km",225000
4,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
5,SwiftVDi,February,First,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,000 km",385000
6,SwiftVXi,July,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"18,000 km",370000
7,SwiftDzireVXI,March,First,Grey,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,,,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,,,,RemoteControlledCentral,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2013,CNG & Hybrids,"97,000 km",390000
8,SwiftDzireVXi1.2BS-IV,September,Second,Black,Sedans,Manual,Comprehensive,New,MH,Yes,,,,Yes,AutomaticClimateControl,Front&rear,Yes,Yes,Yes,Manual,Yes,Yes,,Yes,Yes,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2009,CNG & Hybrids,"69,000 km",255000
9,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
10,ScorpioSLEBS-IV,April,First,White,SUV,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Mahindra,Scorpio,2012,Diesel,"79,508 km",525000
